2025-09-27 15:37:45,812 - 这次的优化目标是系统的ITAEc，时间间隔0.1秒
2025-09-27 15:55:55,168 - 输入参数: [4.76970036e+04 3.15979283e+04 2.59788812e+01 0.00000000e+00
 6.01645303e+05 3.92664523e+05], 计算结果: 451.8014367849278
2025-09-27 15:56:06,984 - 输入参数: [4.31831569e+04 3.90812332e+04 6.66766071e+01 5.50095006e+02
 5.35515081e+05 4.83078644e+05], 计算结果: 501.8672886512719
2025-09-27 15:56:20,718 - 输入参数: [0.00000000e+00 8.55227151e+04 8.31974106e+02 2.87402117e+02
 0.00000000e+00 1.00000000e+06], 计算结果: 20200.656298028058
2025-09-27 15:56:34,264 - 输入参数: [1.56225296e+02 1.00000000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+06], 计算结果: 7382.926475708692
2025-09-27 15:56:49,937 - 输入参数: [7.14116207e+04 1.33354141e+04 7.76033880e+01 0.00000000e+00
 0.00000000e+00 3.77702231e+05], 计算结果: 2430.8943667690173
2025-09-27 15:57:02,322 - 输入参数: [6.12177530e+04 3.51460303e+04 7.03500304e+02 9.84918192e+02
 5.00953463e+05 7.07221420e+05], 计算结果: 562.3203595306155
2025-09-27 15:57:14,673 - 输入参数: [1.09169366e+04 3.54300760e+04 0.00000000e+00 2.60771980e+02
 7.69864530e+05 5.33963676e+05], 计算结果: 597.5691736951931
2025-09-27 15:57:29,611 - 输入参数: [ 50282.09797214      0.            470.53963847      0.
      0.         102443.02994849], 计算结果: 3069.366956942691
2025-09-27 15:57:41,566 - 输入参数: [3.12120386e+04 0.00000000e+00 5.64569557e+02 3.54834208e+02
 4.81359442e+05 5.39340992e+05], 计算结果: 1101.7286543542143
2025-09-27 15:57:52,791 - 输入参数: [ 65555.59216095  99828.86662329   1000.            502.13663026
 186629.84184692 343181.15868272], 计算结果: 640.0067040249724
2025-09-27 15:58:04,752 - 输入参数: [6.47981706e+04 4.17591429e+04 0.00000000e+00 3.84114501e+02
 3.37615259e+05 6.10893670e+05], 计算结果: 518.8421189044568
2025-09-27 15:58:16,171 - 输入参数: [6.04525923e+04 6.19736416e+04 5.47642927e+02 1.35249888e+02
 5.44979059e+05 3.34043223e+05], 计算结果: 497.3695709262971
2025-09-27 15:58:28,704 - 输入参数: [1.00000000e+05 1.00000000e+05 6.87193568e+02 0.00000000e+00
 1.00000000e+06 2.20461281e+05], 计算结果: 708.8949218784202
2025-09-27 15:58:40,733 - 输入参数: [ 79641.53467549      0.              0.              0.
 866945.09064504 374996.30056407], 计算结果: 664.4353445843174
2025-09-27 15:58:52,217 - 输入参数: [1.00000000e+05 0.00000000e+00 0.00000000e+00 3.87542724e+01
 8.58412994e+05 3.22919746e+05], 计算结果: 518.9997499879426
2025-09-27 15:59:05,669 - 输入参数: [7.14260730e+04 1.00000000e+05 8.06260726e+02 2.33539615e+01
